2012-11-02	 	2012-10-31	 	DONATEÖWIKIMED	 	-100,00	 	1 033,32
2012-11-01	 	2012-10-30	 	COOP KONSUM BE	 	-7,95	 	1 133,32
2012-11-01	 	2012-10-30	 	COOP NARA KRIS	 	-9,50	 	1 141,27
2012-11-01	 	2012-11-01	 	IKANO BANK	 	-100,00	 	1 150,77
2012-10-31	 	2012-10-30	 	KUNGSHOLMENS B	 	-120,00	 	1 250,77
2012-10-31	 	2012-10-30	 	PIZZERIA KRIST	 	-130,00	 	1 370,77
2012-10-31	 	2012-10-29	 	COOP NARA KRIS	 	-19,90	 	1 500,77
2012-10-31	 	2012-10-30	 	C82 CUBUS SERG	 	-498,00	 	1 520,67
2012-10-30	 	2012-10-30	 	BANKOMAT 19.37	 	-200,00	 	2 018,67
2012-10-30	 	2012-10-29	 	T-JARLEN	 	-29,80	 	2 218,67
2012-10-30	 	2012-10-29	 	REHBAND CENTER	 	-975,00	 	2 248,47
2012-10-30	 	2012-10-30	 	Överf Mobil	 	800,00	 	3 223,47
2012-10-30	 	2012-10-30	 	Stående överf	 	1 000,00	 	2 423,47
2012-10-29	 	2012-10-29	 	Överf Mobil	 	-2 749,00	 	1 423,47
2012-10-29	 	2012-10-27	 	LIVINGROOM	 	-55,00	 	4 172,47
2012-10-26	 	2012-10-25	 	456 DRESSMANN	 	-99,00	 	4 227,47
2012-10-26	 	2012-10-24	 	COOP KONSUM BE	 	-45,75	 	4 326,47
2012-10-26	 	2012-10-25	 	560 CARLINGS K	 	-398,00	 	4 372,22
2012-10-26	 	2012-10-25	 	T-JARLEN	 	-21,80	 	4 770,22
2012-10-26	 	2012-10-26	 	TELE2 SVERIGE	 	-98,00	 	4 792,02
2012-10-25	 	2012-10-24	 	JENSENS BOFHUS	 	-104,00	 	4 890,02
2012-10-25	 	2012-10-25	 	Överf Mobil	 	-10 000,00	 	4 994,02
2012-10-25	 	2012-10-24	 	00091702944735	 	1 514,00	 	14 994,02
2012-10-25	 	2012-10-23	 	LÖN	 	12 890,00	 	13 480,02
2012-10-24	 	2012-10-23	 	ICA SUPERMARKE	 	-29,90	 	590,02
2012-10-23	 	2012-10-19	 	COOP KONSUM BE	 	-147,95	 	619,92
2012-10-22	 	2012-10-19	 	IKEA-KUNGENS K	 	-214,00	 	767,87
2012-10-22	 	2012-10-22	 	IF SKADEFÖRSÄK	 	-600,00	 	981,87
2012-10-19	 	2012-10-17	 	COOP KONSUM BE	 	-30,10	 	1 581,87
2012-10-19	 	2012-10-19	 	00091702944735	 	1 500,00	 	1 611,97
2012-10-19	 	2012-10-19	 	SVERIGES INGEN	 	-180,00	 	111,97
2012-10-18	 	2012-10-16	 	COOP KONSUM BE	 	-78,85	 	291,97
2012-10-18	 	2012-10-17	 	SULTAN FASTFOO	 	-77,00	 	370,82
